
===== pirlnav  (1 runs) =====
[nnmlpp8l] autumn-night-1                 | finished  | step=1772 | met={"overfit_long/metrics/spl": 0.5414036512374878, "overfit_long/metrics/softspl": 0.5384412407875061, "overfit_long/metrics/success": 1} | cfg={}

===== pirlnav-baseline  (98 runs) =====
[wtl8booy] il_ovrl_repro500               | finished  | step=None | met={} | cfg={"NUM_UPDATES": 500, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[opan39cx] il_ovrl_repro500               | finished  | step=128000 | met={"metrics/spl": 0.550618230080118, "metrics/softspl": 0.5513160861268336, "metrics/success": 0.9897959183673468} | cfg={"NUM_UPDATES": 500, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[qgn6ze10] il_ovrl_repro500_eval          | finished  | step=None | met={} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[4byhrjm4] il_ovrl_repro500_eval          | finished  | step=52480 | met={"eval_metrics/spl": 0, "eval_metrics/softspl": 0.08488879457335623, "eval_metrics/success": 0} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[ztb1j3ol] il_ovrl_repro500_eval          | finished  | step=117504 | met={"eval_metrics/spl": 0, "eval_metrics/softspl": 0.14578959788444204, "eval_metrics/success": 0} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/ckpt.9.pth", "CHECKPOINT_INTERVAL": -1}
[atu9xygw] il_ovrl_repro20k               | finished  | step=5120000 | met={"metrics/spl": 0.540472412109375, "metrics/softspl": 0.53658447265625, "metrics/success": 1} | cfg={"NUM_UPDATES": 20000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_repro", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[uqjbrjay] il_ovrl_repro20k_eval_last     | finished  | step=4610560 | met={"eval_metrics/spl": 0, "eval_metrics/softspl": 0.2271591534005355, "eval_metrics/success": 0} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_repro/ckpt.9.pth", "CHECKPOINT_INTERVAL": 
[jrx8w791] il_ovrl_repro20k_eval          | finished  | step=4610560 | met={"eval_metrics/spl": 0, "eval_metrics/softspl": 0.21862977653759824, "eval_metrics/success": 0} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_repro", "CHECKPOINT_INTERVAL": -1}
[jo4xz6sz] il_ovrl_repro20k_eval          | crashed   | step=None | met={} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_repro", "CHECKPOINT_INTERVAL": -1}
[bnikm4aq] il_ovrl_repro20k               | crashed   | step=14643200 | met={"metrics/spl": 0.430908203125, "metrics/softspl": 0.42724609375, "metrics/success": 1} | cfg={"NUM_UPDATES": 80000, "NUM_CHECKPOINTS": 40, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_repro", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[ak38y8n0] il_gradaccum_8env_acc32        | finished  | step=None | met={} | cfg={"NUM_UPDATES": 3200, "NUM_CHECKPOINTS": 4, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_gradaccum", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[8lmnpw1o] il_gradaccum_2gpu_8env_acc32   | crashed   | step=1347584 | met={"metrics/spl": 0.5091094970703125, "metrics/softspl": 0.5048421223958334, "metrics/success": 1} | cfg={"NUM_UPDATES": 3200, "NUM_CHECKPOINTS": 4, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_gradaccum2", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[woe06sr6] il_overfit_1scene              | finished  | step=256000 | met={"metrics/spl": 0.6045099431818182, "metrics/softspl": 0.5982616077769887, "metrics/success": 1} | cfg={"NUM_UPDATES": 2000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_overfit", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[x3b42huz] il_overfit_5ep                 | crashed   | step=None | met={} | cfg={"NUM_UPDATES": 3000, "NUM_CHECKPOINTS": 5, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_overfit_tiny", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[fd790i4c] il_overfit_5ep                 | finished  | step=None | met={} | cfg={"NUM_UPDATES": 3000, "NUM_CHECKPOINTS": 5, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_overfit_tiny", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[w9mfd12a] il_overfit_5ep                 | finished  | step=192000 | met={"metrics/spl": 0.5629078258167614, "metrics/softspl": 0.5598116787997159, "metrics/success": 1} | cfg={"NUM_UPDATES": 3000, "NUM_CHECKPOINTS": 5, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_overfit_tiny", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[fg6ne2xv] overfit_eval_same_scene        | finished  | step=None | met={} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/overfit_long/ckpt.2.pth", "CHECKPOINT_INTERVA
[ycmlidac] overfit_eval_same_scene        | finished  | step=128384 | met={"eval_metrics/spl": 0.467695173896073, "eval_metrics/softspl": 0.4653698992115753, "eval_metrics/success": 1} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/overfit_long/ckpt.2.pth", "CHECKPOINT_INTERVA
[xx2y81t4] dandy-hill-19                  | finished  | step=1999 | met={"overfit_long/metrics/spl": 0.5533521771430969, "overfit_long/metrics/softspl": 0.5503488183021545, "overfit_long/metrics/success": 1} | cfg={}
[5evr8nyg] il_rgb_1day_10env_acc51        | finished  | step=8000000 | met={"metrics/spl": 0.5043157141978346, "metrics/softspl": 0.5027066929133859, "metrics/success": 0.9921259842519684} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_1gpu_10env", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[wrj46kdj] il_rgb_1day_eval               | finished  | step=1600960 | met={"eval_metrics/spl": 0, "eval_metrics/softspl": 0.12948824432451833, "eval_metrics/success": 0} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_1gpu_10env/ckpt.3.pth", "CHECKPOINT_INTERV
[0ruuy7e2] il_costmap_1day_10env_acc51    | finished  | step=127680 | met={"metrics/spl": 0.5222537048861512, "metrics/softspl": 0.5220992911575187, "metrics/success": 0.9914529914529916} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_1day", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[uqn0ub7p] il_costmap_1day_10env_acc51    | finished  | step=None | met={} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_1day", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[2pxuefij] il_costmap_1day_10env_acc51    | finished  | step=2091840 | met={"metrics/spl": 0.5305513080797697, "metrics/softspl": 0.5274813467996162, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_1day", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[4kcqjgao] cm_overfit_1scene              | finished  | step=None | met={} | cfg={"NUM_UPDATES": 1500, "NUM_CHECKPOINTS": 1, "CHECKPOINT_FOLDER": "data/new_checkpoints/cm_overfit", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[kephhe5e] cm_overfit_1scene              | finished  | step=96000 | met={"metrics/spl": 0.545990716843378, "metrics/softspl": 0.5433262416294643, "metrics/success": 1} | cfg={"NUM_UPDATES": 1500, "NUM_CHECKPOINTS": 1, "CHECKPOINT_FOLDER": "data/new_checkpoints/cm_overfit", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[wmxjgj7b] il_costmap_2ch_10env_acc51     | finished  | step=8000000 | met={"metrics/spl": 0.5218054969031531, "metrics/softspl": 0.5178310634853603, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[cm2cheval1] il_costmap_2ch_eval            | finished  | step=7202880 | met={"eval_metrics/spl": 0, "eval_metrics/softspl": 0.10762434174208375, "eval_metrics/success": 0} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_costmap_2ch/ckpt.9.pth", "CHECKPOINT_INTER
[3kc8o3dm] probe_greedy_s3of4             | finished  | step=245 | met={"spl": 0, "softspl": 0.04572746852611814, "success": 0, "running_spl": 0, "running_softspl": 0.04572746852611814, "running_success": 0} | cfg={}
[5f9dajdm] probe_greedy_s0of4             | finished  | step=252 | met={"spl": 0, "softspl": 0.06183237736868507, "success": 0, "running_spl": 0, "running_softspl": 0.06183237736868507, "running_success": 0} | cfg={}
[d02ljju1] probe_greedy_s2of4             | finished  | step=252 | met={"spl": 0, "softspl": 0.06245306854093819, "success": 0, "running_spl": 0, "running_softspl": 0.06245306854093819, "running_success": 0} | cfg={}
[zoxutjj2] probe_greedy_s1of4             | finished  | step=251 | met={"spl": 0, "softspl": 0.06424252644774112, "success": 0, "running_spl": 0, "running_softspl": 0.06424252644774112, "running_success": 0} | cfg={}
[2b3pp8j6] cm_sp_overfit                  | crashed   | step=136448 | met={"metrics/spl": 0.9493280029296876, "metrics/softspl": 0.94310302734375, "metrics/success": 1} | cfg={"NUM_UPDATES": 2000, "NUM_CHECKPOINTS": 3, "CHECKPOINT_FOLDER": "data/new_checkpoints/cm_sp_overfit", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[1b9ts0qw] gen_sp_demos_s1of16            | crashed   | step=None | met={} | cfg={}
[1ot1zit3] gen_sp_demos_s11of16           | crashed   | step=None | met={} | cfg={}
[3rw0uxxq] gen_sp_demos_s12of16           | crashed   | step=None | met={} | cfg={}
[6k7eqesi] gen_sp_demos_s9of16            | crashed   | step=None | met={} | cfg={}
[6skznzfi] gen_sp_demos_s6of16            | crashed   | step=None | met={} | cfg={}
[7rxqk7zn] gen_sp_demos_s15of16           | crashed   | step=None | met={} | cfg={}
[a8nz25r2] gen_sp_demos_s13of16           | crashed   | step=None | met={} | cfg={}
[hhc46wng] gen_sp_demos_s2of16            | crashed   | step=None | met={} | cfg={}
[hl02lgv9] gen_sp_demos_s10of16           | crashed   | step=None | met={} | cfg={}
[i6c5r06y] gen_sp_demos_s4of16            | crashed   | step=None | met={} | cfg={}
[kvjpeajz] gen_sp_demos_s7of16            | crashed   | step=None | met={} | cfg={}
[m7s0vgjo] gen_sp_demos_s0of16            | crashed   | step=None | met={} | cfg={}
[nvps4vhz] gen_sp_demos_s14of16           | crashed   | step=None | met={} | cfg={}
[oavwmsdd] gen_sp_demos_s3of16            | crashed   | step=None | met={} | cfg={}
[t8llvr90] gen_sp_demos_s8of16            | crashed   | step=None | met={} | cfg={}
[w3lbrc2c] gen_sp_demos_s5of16            | crashed   | step=None | met={} | cfg={}
[erb9romm] rgb_sp_overfit                 | finished  | step=256000 | met={"metrics/spl": 0.946805419921875, "metrics/softspl": 0.941202392578125, "metrics/success": 1} | cfg={"NUM_UPDATES": 2000, "NUM_CHECKPOINTS": 3, "CHECKPOINT_FOLDER": "data/new_checkpoints/rgb_sp_overfit", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[9esntvsy] cm_sp_overfit                  | finished  | step=128896 | met={"metrics/spl": 0.9479129367404514, "metrics/softspl": 0.9422580295138888, "metrics/success": 1} | cfg={"NUM_UPDATES": 2000, "NUM_CHECKPOINTS": 3, "CHECKPOINT_FOLDER": "data/new_checkpoints/cm_sp_overfit", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[sv6g0ifh] cm_sp_overfit_B                | finished  | step=256000 | met={"metrics/spl": 0.9394859900841346, "metrics/softspl": 0.9287277054000688, "metrics/success": 1} | cfg={"NUM_UPDATES": 2000, "NUM_CHECKPOINTS": 3, "CHECKPOINT_FOLDER": "data/new_checkpoints/cm_sp_overfit_B", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[mvlqm5a1] rgb_sp_overfit_B               | finished  | step=256000 | met={"metrics/spl": 0.9355745882601352, "metrics/softspl": 0.9249696473817568, "metrics/success": 1} | cfg={"NUM_UPDATES": 2000, "NUM_CHECKPOINTS": 3, "CHECKPOINT_FOLDER": "data/new_checkpoints/rgb_sp_overfit_B", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[42zcn0d5] cm_sp_overfit                  | finished  | step=128 | met={"metrics/spl": 0, "metrics/softspl": 0, "metrics/success": 0} | cfg={"NUM_UPDATES": 2000, "NUM_CHECKPOINTS": 3, "CHECKPOINT_FOLDER": "data/new_checkpoints/cm_sp_overfit", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[g5lt1zgx] cm_sp_overfit                  | finished  | step=256000 | met={"metrics/spl": 0.9460312863613696, "metrics/softspl": 0.9408173256732048, "metrics/success": 1} | cfg={"NUM_UPDATES": 2000, "NUM_CHECKPOINTS": 3, "CHECKPOINT_FOLDER": "data/new_checkpoints/cm_sp_overfit", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[bw6a4s0v] rgb_sp_A_eval                  | finished  | step=None | met={"spl": 0.0489, "softspl": 0.2523, "success": 0.0606} | cfg={"teacher": "shortest_path"}
[y3ntwkyy] cm_sp_A_eval                   | finished  | step=None | met={"spl": 0.7097, "softspl": 0.8274, "success": 0.75} | cfg={"teacher": "shortest_path"}
[lxjrkn1t] rgb_sp_B_eval                  | finished  | step=None | met={"spl": 0, "softspl": 0.3818, "success": 0} | cfg={"teacher": "shortest_path"}
[dx6j0v3q] cm_sp_B_eval                   | finished  | step=None | met={"spl": 0.9388, "softspl": 0.9282, "success": 1} | cfg={"teacher": "shortest_path"}
[9m4wgoeo] gen_sp_demos_s0of8             | finished  | step=9 | met={} | cfg={}
[edhtz1zh] gen_sp_demos_s2of8             | finished  | step=9 | met={} | cfg={}
[flbtr75v] gen_sp_demos_s6of8             | finished  | step=9 | met={} | cfg={}
[hdcm45ib] gen_sp_demos_s4of8             | finished  | step=9 | met={} | cfg={}
[pks4nz5i] gen_sp_demos_s1of8             | finished  | step=9 | met={} | cfg={}
[q2ih4qvt] gen_sp_demos_s7of8             | finished  | step=9 | met={} | cfg={}
[qike7siy] gen_sp_demos_s3of8             | finished  | step=9 | met={} | cfg={}
[zt0stnjn] gen_sp_demos_s5of8             | finished  | step=9 | met={} | cfg={}
